"","Site1","Site2","Treatment","Block","PointID","Observer","Date","Year1","Year2","TimeofSurvey","Noise","Sky","Wind","Species","Time1","Time2","Time3","Time4","Time5","Distance","Sex","Detection"
"58","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"FISP",0,0,0,1,0,"75-100","M","S"
"59","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"TUTI",0,1,1,1,1,"0-25","M","S"
"60","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"TUTI",0,0,0,1,0,"25-50","M","S"
"61","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"WOTH",1,1,1,1,1,"25-50","M","S"
"62","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"AMGO",0,0,1,0,0,"25-50","M","S"
"63","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"AMGO",0,0,1,0,0,"25-50","M","S"
"64","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"AMRO",0,0,0,1,1,"0-25","M","S"
"65","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"EATO",0,0,0,1,1,"25-50","M","S"
"66","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"EATO",0,0,0,0,1,"25-50","M","S"
"67","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"BLJA",0,0,0,1,0,"0-25","M","S"
"68","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"TUTI",1,1,1,1,1,"0-25","M","S"
"69","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"OVEN",1,0,1,0,0,"0-25","M","S"
"70","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"EATO",1,0,0,1,1,"25-50","M","S"
"71","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"AMCR",1,1,1,1,1,"50-75","M","S"
"72","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"NOCA",1,0,1,1,1,"0-25","M","S"
"73","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"REVI",1,1,1,0,0,"50-75","M","S"
"74","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"YTVI",1,0,0,0,0,"25-50","M","S"
"75","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"FISP",1,1,1,1,1,"25-50","M","S"
"76","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"OVEN",1,1,1,1,1,"50-75","M","S"
"77","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"TUTI",1,1,0,0,0,"0-25","M","S"
"78","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"KEWA",1,1,0,0,0,"0-25","M","S"
"79","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"BWWA",0,1,0,0,0,"0-25","M","S"
"80","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"AMCR",0,1,1,1,1,"50-75","M","S"
"81","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"BLJA",0,1,0,1,0,"25-50","M","S"
"82","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"WOTH",0,1,1,0,0,"50-75","M","S"
"83","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"NOCA",0,0,1,0,0,"50-75","M","S"
"84","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"INBU",0,0,1,1,1,"25-50","M","S"
"85","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"INBU",0,0,0,1,1,"0-25","M","S"
"86","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"EATO",1,0,1,0,1,"0-25","M","S"
"87","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"AMRO",0,1,0,0,0,"0-25","M","S"
"88","SJ","SJ","5020","ROW1","A","KH","5/3/2016",2016,0,840,NA,2,0,"RBWO",0,0,1,1,0,"25-50","M","S"
"89","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"INBU",1,1,1,1,0,"0-25","M","S"
"90","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"NOCA",1,0,0,1,0,"0-25","M","S"
"91","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"EATO",1,0,0,0,0,"50-75","M","S"
"92","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"OVEN",1,1,1,0,0,"0-25","M","S"
"93","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"WOTH",1,0,1,0,0,"50-75","M","S"
"94","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"NOCA",1,1,1,1,1,"25-50","M","S"
"95","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"AMCR",0,1,1,0,0,"0-25","U","S"
"96","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"AMCR",0,1,1,0,0,"0-25","U","S"
"97","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"KEWA",0,1,0,0,0,"25-50","M","S"
"98","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"YTVI",0,1,1,0,1,"25-50","M","S"
"99","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"DOWO",0,1,1,0,0,"25-50","U","S"
"100","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"BWWA",0,0,1,0,0,"50-75","M","S"
"101","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"BWWA",0,0,1,0,0,"0-25","M","S"
"102","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"CERW",0,0,1,1,0,"25-50","M","S"
"103","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"BAOW",0,0,0,1,1,"25-50","U","S"
"104","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"EATO",1,1,0,0,0,"0-25","M","S"
"105","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"TUTI",1,0,0,0,0,"0-25","M","S"
"106","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"EATO",0,1,0,0,0,"0-25","M","S"
"107","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"BCCH",0,1,0,0,0,"0-25","U","S"
"108","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"BLJA",0,1,0,0,0,"25-50","U","S"
"109","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"AMGO",0,1,0,0,0,"0-25","U","F"
"110","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"TUTI",0,1,0,0,0,"25-50","M","S"
"111","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"RBWO",0,0,1,1,0,"25-50","U","C"
"112","SJ","SJ","5020","ROW1","B","KH","5/3/2016",2016,0,859,NA,2,0,"AMCR",1,1,1,1,1,"75-100","U","S"
"113","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"HOWA",1,1,0,1,1,"0-25","M","S"
"114","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"EATO",1,1,1,1,1,"0-25","M","S"
"115","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"EATO",1,1,1,1,1,"25-50","M","S"
"116","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"EATO",1,1,1,1,1,"50-75","M","S"
"117","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"HOWA",1,1,0,1,0,"25-50","M","S"
"118","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"KEWA",1,0,1,0,0,"25-50","M","S"
"119","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"FISP",1,0,0,0,0,"50-75","M","S"
"120","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"OVEN",0,1,0,0,0,"25-50","M","S"
"121","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"FISP",0,1,0,0,0,"25-50","M","S"
"122","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"AMCR",0,1,1,1,0,"50-75","M","S"
"123","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"HOWA",0,1,0,0,0,"75-100","M","S"
"124","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"WOTH",0,0,1,1,1,"0-25","M","S"
"125","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"WOTH",0,0,1,1,1,"25-50","M","S"
"126","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"BWWA",0,0,0,1,1,"25-50","M","S"
"127","SJ","SJ","15020","ROW1","B","JJ","5/3/2016",2016,0,744,NA,2,0,"RBWO",0,0,0,1,1,"50-75","M","S"
"128","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"WOTH",1,0,1,1,1,"50-75","M","S"
"129","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"WOTH",1,0,1,1,1,"50-75","M","S"
"130","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"SCTA",1,0,1,1,0,"0-25","M","S"
"131","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"WOTH",1,1,1,1,1,"25-50","M","S"
"132","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"YTVI",1,1,1,1,1,"0-25","M","S"
"133","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"YTVI",1,1,1,0,1,"25-50","M","S"
"134","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"BLJA",0,1,0,0,0,"25-50","M","S"
"135","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"KEWA",0,1,0,0,0,"25-50","M","S"
"136","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"OVEN",0,0,1,1,1,"50-75","M","S"
"137","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"FISP",0,0,1,1,0,"50-75","M","S"
"138","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"NOFL",0,0,0,1,0,"50-75","M","S"
"139","SJ","SJ","15060","ROW1","A","JJ","5/3/2016",2016,0,635,NA,4,0,"AMCR",0,0,0,1,0,"50-75","U","C"
"140","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"OVEN",1,0,0,1,0,"25-50","M","S"
"141","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"RBWO",1,0,1,0,0,"25-50","M","S"
"142","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"BTNW",1,0,0,0,0,"50-75","M","S"
"143","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"KEWA",1,0,1,1,0,"25-50","M","S"
"144","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"WOTH",1,0,0,0,0,"25-50","M","S"
"145","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"BGGN",1,1,0,0,0,"25-50","M","S"
"146","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"TUTI",0,1,0,0,0,"0-25","M","S"
"147","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"CERW",1,1,0,0,0,"0-25","M","S"
"148","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"CERW",1,1,0,0,0,"25-50","M","S"
"149","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"WOTH",0,0,1,1,0,"50-75","M","S"
"150","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"KEWA",0,0,1,0,0,"25-50","M","S"
"151","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"WBNU",0,0,1,1,0,"25-50","M","S"
"152","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"YTVI",0,0,1,1,0,"0-25","M","S"
"153","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"YTVI",0,0,1,1,0,"25-50","M","S"
"154","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"WOTH",0,0,0,1,0,"50-75","M","S"
"155","SJ","SJ","15060","ROW1","B","JJ","5/3/2016",2016,0,654,NA,4,0,"BGGN",0,0,0,0,1,"0-25","M","V"
"156","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"YTVI",1,1,1,0,0,"0-25","M","S"
"157","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"YTVI",1,1,1,0,0,"0-25","M","S"
"158","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"FISP",1,1,1,1,1,"0-25","M","S"
"159","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"FISP",1,1,1,1,1,"25-50","M","S"
"160","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"AMCR",1,1,1,1,1,"50-75","M","S"
"161","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"BLJA",1,0,0,0,0,"50-75","M","S"
"162","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"WBNU",1,0,0,0,0,"50-75","M","S"
"163","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"BRTH",1,1,1,1,1,"0-25","M","S"
"164","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"KEWA",1,0,0,0,0,"25-50","M","S"
"165","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"AMCR",0,1,1,1,1,"25-50","M","S"
"166","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"AMGO",0,1,1,0,1,"25-50","U","F"
"167","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"BRTH",0,1,1,1,1,"50-75","M","S"
"168","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"GRCA",0,1,0,0,1,"25-50","M","S"
"169","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"GRCA",0,1,0,0,1,"25-50","M","S"
"170","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"EATO",0,0,0,0,1,"0-25","M","V"
"171","SJ","SJ","10020","ROW1","B","JJ","5/3/2016",2016,0,834,NA,2,0,"HOWA",0,0,0,0,1,"0-25","M","S"
"172","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"AMCR",1,1,1,1,1,"50-75","M","S"
"173","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"AMCR",1,1,1,1,1,"75-100","M","S"
"174","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"YTVI",1,1,1,0,0,"0-25","M","S"
"175","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"YTVI",1,1,1,0,0,"0-25","M","S"
"176","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"FISP",1,1,1,1,1,"25-50","M","S"
"177","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"BRTH",1,1,0,0,0,"25-50","M","S"
"178","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"YTVI",0,1,1,0,0,"0-25","M","S"
"179","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"CACH",0,1,1,0,1,"0-25","M","S"
"180","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"EATO",0,1,1,1,1,"0-25","M","S"
"181","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"EATO",0,1,1,1,1,"25-50","M","S"
"182","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"CACH",0,0,1,1,0,"0-25","M","S"
"183","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"BRTH",0,0,0,1,1,"25-50","M","S"
"184","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"FISP",0,0,0,1,1,"25-50","M","S"
"185","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"KEWA",0,0,0,1,0,"50-75","M","S"
"186","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"NOCA",0,0,0,1,1,"0-25","M","S"
"187","SJ","SJ","10020","ROW1","A","JJ","5/3/2016",2016,0,850,NA,2,0,"NOCA",0,0,0,0,1,"25-50","M","S"
"188","LC","LC2","10060","ROW2","A","JJ","5/9/2016",2016,0,830,NA,4,0,"YTVI",1,1,0,0,1,"0-25","M","S"
"189","LC","LC2","10060","ROW2","A","JJ","5/9/2016",2016,0,830,NA,4,0,"BTNW",1,1,0,1,0,"25-50","M","S"
"190","LC","LC2","10060","ROW2","A","JJ","5/9/2016",2016,0,830,NA,4,0,"BTNW",1,1,0,1,0,"0-25","M","S"
"191","LC","LC2","10060","ROW2","A","JJ","5/9/2016",2016,0,830,NA,4,0,"OVEN",1,1,0,0,0,"25-50","M","S"
"192","LC","LC2","10060","ROW2","A","JJ","5/9/2016",2016,0,830,NA,4,0,"BCCH",1,1,0,1,1,"25-50","U","C/V"
