Site1,Site2,Treatment,Block,PointID,Observer,Date,Year1,Year2,TimeofSurvey,Visit,Noise,Sky,Wind,Species,Time1,Time2,Time3,Time4,Time5,Distance,Sex,Detection
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,CORA,1,0,0,0,0,50-75,U,C
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,DEJU,0,1,1,1,0,0-25,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,BTNW,0,1,1,0,0,25-50,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,VEER,0,1,1,0,0,25-50,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,BCCH,0,0,1,0,0,0-25,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,AMCR,0,0,1,1,0,25-50,U,C
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,BTBW,0,0,1,1,1,0-25,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,BLJA,0,0,1,1,0,50-75,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,OVEN,0,0,0,1,1,25-50,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,YTVI,0,0,0,1,0,50-75,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,WOTH,0,0,0,0,1,0-25,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,FISP,0,0,0,0,1,25-50,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,OVEN,1,0,0,0,0,25-50,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,AMRO,1,1,1,1,1,0-25,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,DEJU,1,1,1,1,1,0-25,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,BHVI,1,0,1,0,0,25-50,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,BTNW,1,1,0,0,0,0-25,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,OVEN,1,0,0,0,0,50-75,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,OVEN,1,1,1,1,0,25-50,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,BTNW,1,1,1,0,0,0-25,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,WOTH,0,0,1,0,0,25-50,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,BCCH,0,0,0,1,1,50-75,M,S
LC,LC4,CtlRg,REGEN2,PC,KH,5/26/16,2016,0,740,1,1,4,0,AMCR,0,0,0,0,1,75-100,U,C
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,BCCH,1,1,1,0,1,25-50,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,CSWA,1,1,1,1,1,0-25,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,YTVI,1,1,1,1,1,25-50,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,COYE,1,1,1,0,1,25-50,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,WOTH,1,1,0,1,1,50-75,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,BTBW,1,1,0,0,0,25-50,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,DEJU,1,0,1,1,0,25-50,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,COYE,1,0,0,0,0,0-25,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,HOWR,1,0,0,1,1,25-50,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,BTBW,0,1,0,0,0,0-25,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,BTNW,0,1,1,1,1,0-25,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,OVEN,0,1,1,0,1,50-75,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,EATO,0,1,0,1,0,25-50,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,OVEN,0,1,1,1,1,25-50,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,COYE,0,0,1,1,0,25-50,M,S
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,AMCR,0,0,1,1,1,75-100,U,C
LC,LC1,CtlRw,ROW1,B,KH,5/27/16,2016,0,702,1,1,1,0,BTNW,0,0,1,1,0,0-25,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,CSWA,1,1,0,1,1,0-25,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,COYE,1,0,0,0,0,50-75,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,CSWA,1,1,1,1,1,25-50,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,BTNW,1,1,0,0,0,50-75,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,BTBW,1,1,1,1,1,75-100,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,BTNW,1,0,0,0,1,75-100,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,CSWA,1,0,0,1,0,50-75,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,BCCH,1,1,0,0,0,>100,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,BLJA,1,1,0,1,1,>100,U,C
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,BLJA,0,0,0,1,1,75-100,U,C
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,BLJA,0,1,0,1,1,75-100,U,C
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,CSWA,0,1,0,0,1,25-50,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,REVI,0,1,0,0,0,75-100,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,BCCH,0,1,0,0,0,50-75,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,OVEN,0,1,0,1,0,>100,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,VEER,0,0,1,1,1,>100,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,CSWA,0,0,1,0,0,75-100,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,AMCR,0,0,0,1,1,>100,U,C
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,BTBW,0,1,0,1,1,50-75,M,S
LC,LC4,HS,REGEN2,PC,JJ,5/27/16,2016,0,715,1,2,2,0,AMGO,0,0,0,0,1,75-100,U,C/F
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,WOTH,1,1,1,1,1,25-50,M,S
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,KEWA,1,0,0,0,0,50-75,M,S
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,WITU,1,1,1,0,1,75-100,U,C
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,AMCR,1,1,1,1,1,75-100,U,C
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,AMCR,1,1,1,0,1,>100,U,C
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,EATO,1,1,1,0,0,0-25,M,S/C/V
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,BGGN,1,1,1,1,0,25-50,M,S
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,FISP,1,0,1,1,1,75-100,M,S
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,NOCA,0,1,0,1,0,25-50,M,S
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,AMCR,0,0,1,1,1,>100,U,C
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,AMRE,0,1,1,0,0,25-50,M,S
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,AMRE,0,1,1,0,0,50-75,M,S
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,FISP,0,0,1,1,0,75-100,M,S
SJ,SJ,15060,ROW1,B,JJ,5/24/16,2016,0,558,1,1,3,0,OVEN,0,0,1,1,1,50-75,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,YBCU,1,1,1,1,1,>100,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,NOCA,1,1,0,0,0,50-75,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,FISP,1,1,1,1,1,75-100,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,AMRE,1,0,0,0,1,75-100,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,GRCA,1,0,1,0,0,25-50,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,BCCH,1,0,0,0,0,50-75,U,C
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,WOTH,1,0,0,1,1,50-75,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,OVEN,1,0,0,0,0,25-50,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,EATO,1,0,1,0,1,50-75,U,C
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,COYE,1,1,0,1,0,75-100,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,RBWO,1,0,1,0,1,>100,U,C
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,EAPH,0,1,0,0,1,75-100,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,AMCR,0,1,1,1,1,75-100,U,C
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,AMCR,0,1,1,1,1,>100,U,C
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,HOWA,0,0,1,0,0,50-75,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,WITU,0,0,1,0,0,>100,U,C
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,SCTA,0,0,1,0,0,50-75,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,HOWA,0,0,0,1,1,0-25,M,S
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,AMCR,0,0,0,1,1,>100,U,C
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,AMCR,0,0,0,1,1,>100,U,C
SJ,SJ,15060,ROW1,A,JJ,5/24/16,2016,0,616,1,1,3,0,YBCU,0,0,0,1,0,75-100,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,NOCA,1,1,1,1,1,25-50,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,EAPH,1,0,1,1,1,75-100,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,COYE,1,1,1,1,1,25-50,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,BLJA,1,1,1,0,0,75-100,U,C
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,RBWO,1,1,1,0,1,25-50,U,C
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,EATO,1,0,0,0,0,50-75,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,WITU,1,0,0,0,0,>100,U,C
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,YTVI,1,0,0,0,0,75-100,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,WOTH,0,1,1,0,0,>100,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,ACFL,0,0,1,0,1,50-75,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,NOCA,0,0,1,1,1,75-100,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,COYE,0,0,1,0,1,50-75,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,FISP,0,0,1,0,0,75-100,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,YBCU,0,0,0,1,0,0-25,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,NOCA,0,0,0,1,1,25-50,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,BLJA,0,0,0,1,0,0-25,U,C/F
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,TUTI,0,0,0,0,1,75-100,M,S
SJ,SJ,10060,ROW1,A,JJ,5/24/16,2016,0,721,1,1,3,0,EAPH,0,0,0,0,1,25-50,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,SCTA,1,0,0,0,0,25-50,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,REVI,1,1,1,1,1,0-25,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,NOCA,1,1,1,1,1,0-25,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,WOTH,1,0,0,0,0,>100,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,WOTH,1,0,0,0,0,75-100,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,BTBW,1,1,1,0,0,50-75,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,HOWA,1,0,0,0,0,25-50,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,REVI,1,0,1,0,0,25-50,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,COYE,1,0,1,0,1,50-75,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,EATO,1,1,0,0,1,25-50,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,HOWA,1,0,0,1,0,75-100,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,BTBW,1,1,1,0,1,75-100,M,S
SJ,SJ,10060,ROW1,B,JJ,5/24/16,2016,0,738,1,1,3,0,FISP,0,1,0,1,0,>100,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,TUTI,1,1,1,1,1,75-100,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,REVI,1,1,1,0,0,25-50,M,S/V
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,ACFL,1,1,1,1,1,75-100,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,WEVI,1,0,0,1,1,50-75,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,INBU,1,1,1,0,0,75-100,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,TUTI,1,0,0,0,0,0-25,U,V
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,NOCA,0,1,1,1,1,75-100,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,AMRO,0,0,1,0,0,50-75,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,EATO,0,0,1,0,1,25-50,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,TUTI,0,0,1,1,0,>100,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,NOCA,0,0,0,1,0,75-100,M,S
SJ,SJ,5060,ROW1,A,EM,5/24/16,2016,0,935,1,1,0,0,AMGO,0,0,0,1,0,50-75,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,WEVI,1,1,1,1,1,25-50,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,INBU,1,1,1,1,0,50-75,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,EATO,1,1,0,1,1,50-75,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,NOCA,1,0,0,0,0,50-75,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,TUTI,0,1,0,0,0,75-100,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,REVI,0,1,0,1,0,75-100,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,BAWW,0,1,1,0,1,50-75,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,INBU,0,1,0,1,1,75-100,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,WOTH,0,0,1,0,0,>100,M,S
SJ,SJ,5060,ROW1,B,EM,5/24/16,2016,0,915,1,2,0,1,NOCA,0,0,0,0,1,>100,M,S
